,Borough,collection_week,total_icu_beds_7_day_avg,icu_beds_used_7_day_avg,icu_beds_used_pct_7_day_avg
0,Bronx,2020-12-18,742.0,377.1,50.82210242587601
1,Bronx,2020-12-25,651.8000000000001,378.2,58.023933722000606
2,Bronx,2021-01-01,566.0,414.9,73.30388692579504
3,Bronx,2021-01-08,559.6,389.9000000000001,69.67476769120802
4,Bronx,2021-01-15,545.4,395.4,72.4972497249725
5,Bronx,2021-01-22,520.0,402.09999999999997,77.32692307692307
6,Bronx,2021-01-29,558.6,410.30000000000007,73.45148585750091
7,Bronx,2021-02-05,562.0,409.70000000000005,72.90035587188612
8,Bronx,2021-02-12,573.6999999999999,413.70000000000005,72.11085933414678
9,Bronx,2021-02-19,565.0,418.20000000000005,74.01769911504425
10,Bronx,2021-02-26,596.4,423.6,71.02615694164992
11,Bronx,2021-03-05,572.1,436.6,76.31532948785178
12,Bronx,2021-03-12,601.3,434.40000000000003,72.24347247630136
13,Brooklyn,2020-12-18,490.2,327.9,66.89106487148102
14,Brooklyn,2020-12-25,496.4,345.6,69.62127316680098
15,Brooklyn,2021-01-01,486.8,346.4,71.15858668857847
16,Brooklyn,2021-01-08,498.5,377.49999999999994,75.7271815446339
17,Brooklyn,2021-01-15,503.9,390.1000000000001,77.4161539988093
18,Brooklyn,2021-01-22,512.3,391.5,76.42006636736288
19,Brooklyn,2021-01-29,508.8,387.6,76.17924528301887
20,Brooklyn,2021-02-05,485.59999999999997,385.9,79.46869851729818
21,Brooklyn,2021-02-12,481.7,391.5,81.2746522731991
22,Brooklyn,2021-02-19,472.09999999999997,376.2,79.68650709595425
23,Brooklyn,2021-02-26,478.09999999999997,389.59999999999997,81.4892281949383
24,Brooklyn,2021-03-05,475.20000000000005,400.90000000000003,84.36447811447812
25,Brooklyn,2021-03-12,460.2,376.7,81.85571490656235
26,Manhattan,2020-12-18,1549.1000000000001,1098.0,70.8798657284875
27,Manhattan,2020-12-25,1553.4,1058.8999999999999,68.16660229174713
28,Manhattan,2021-01-01,1590.1,1114.8,70.10879818879316
29,Manhattan,2021-01-08,1599.8000000000002,1197.7,74.86560820102513
30,Manhattan,2021-01-15,1603.2,1193.9999999999998,74.4760479041916
31,Manhattan,2021-01-22,1629.3,1242.9999999999998,76.29043147363898
32,Manhattan,2021-01-29,1634.8,1256.9,76.88402251039884
33,Manhattan,2021-02-05,1639.7,1296.6000000000001,79.07544062938344
34,Manhattan,2021-02-12,1630.3,1249.5,76.64233576642336
35,Manhattan,2021-02-19,1644.7,1248.1,75.88617985042863
36,Manhattan,2021-02-26,1649.6000000000001,1239.9999999999998,75.1697381183317
37,Manhattan,2021-03-05,1647.0,1227.3000000000002,74.51730418943535
38,Manhattan,2021-03-12,1637.4999999999998,1226.1000000000001,74.87633587786262
39,Queens,2020-12-18,474.8,182.6,38.45829823083403
40,Queens,2020-12-25,407.59999999999997,180.2,44.21000981354269
41,Queens,2021-01-01,348.7,190.79999999999998,54.71752222540866
42,Queens,2021-01-08,353.0,196.8,55.75070821529745
43,Queens,2021-01-15,355.1,199.29999999999998,56.12503520135172
44,Queens,2021-01-22,320.7,213.89999999999998,66.69784845650139
45,Queens,2021-01-29,339.0,231.70000000000002,68.34808259587021
46,Queens,2021-02-05,353.0,227.4,64.41926345609066
47,Queens,2021-02-12,356.2,235.19999999999996,66.03032004491858
48,Queens,2021-02-19,359.09999999999997,232.9,64.8565859092175
49,Queens,2021-02-26,364.0,241.29999999999998,66.29120879120879
50,Queens,2021-03-05,362.1,228.29999999999998,63.04888152444076
51,Queens,2021-03-12,356.7,232.5,65.18082422203533
52,Staten Island,2020-12-18,180.9,135.6,74.95854063018241
53,Staten Island,2020-12-25,180.0,129.0,71.66666666666667
54,Staten Island,2021-01-01,181.1,132.1,72.94312534511319
55,Staten Island,2021-01-08,180.4,136.0,75.3880266075388
56,Staten Island,2021-01-15,181.6,137.6,75.77092511013215
57,Staten Island,2021-01-22,180.1,130.3,72.34869516935038
58,Staten Island,2021-01-29,180.9,129.9,71.80762852404644
59,Staten Island,2021-02-05,180.7,133.3,73.76867736579969
60,Staten Island,2021-02-12,180.9,131.7,72.80265339966832
61,Staten Island,2021-02-19,180.3,134.2,74.43150305047142
62,Staten Island,2021-02-26,180.0,128.1,71.16666666666667
63,Staten Island,2021-03-05,180.0,133.6,74.22222222222223
64,Staten Island,2021-03-12,180.7,142.1,78.63862755949087
